Id,Label,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
51,S51,12,18,30,3.0,1.7263157894736842,48.61133174882887,0,30.0,12.0,18.0,0.014458955,0.014458955,0.013559884565873934,0,0.5126436781609195,223,0.6044285650537534
72,S72,12,0,12,3.0,2.0631578947368423,12.530660849846441,4,12.0,12.0,0.0,0.006063433,0.006063433,0.00654449858561685,0,0.36363636363636365,24,0.20102554490542518
44,S44,11,18,29,3.0,1.7578947368421052,65.27585239322978,4,29.0,11.0,18.0,0.013992538,0.013992538,0.013346040811684003,0,0.4458128078817734,181,0.5661753243900358
45,S45,11,21,32,3.0,1.768421052631579,42.836853917891524,5,32.0,11.0,21.0,0.015391791,0.015391791,0.014527144116466066,0,0.4879032258064516,242,0.5706910495643921
48,S48,11,11,22,3.0,1.8,31.588352409799857,5,22.0,11.0,11.0,0.010727612,0.010727612,0.010570814858394572,0,0.45021645021645024,104,0.40911667420536474
54,S54,11,5,16,3.0,1.9789473684210526,8.499790973781494,5,16.0,11.0,5.0,0.007929104,0.007929104,0.008102022083856974,0,0.575,69,0.2624131048335033
64,S64,11,4,15,3.0,2.0,17.92176461977705,5,15.0,11.0,4.0,0.0074626864,0.0074626864,0.007898118751515266,0,0.3142857142857143,33,0.22283356215838668
70,S70,11,1,12,3.0,2.0631578947368423,10.315333228487834,5,12.0,11.0,1.0,0.006063433,0.006063433,0.006702665996871028,0,0.3484848484848485,23,0.1896823149075221
55,S55,10,11,21,3.0,1.9052631578947368,54.376973492913244,5,21.0,10.0,11.0,0.010261194,0.010261194,0.01052136509672251,0,0.42857142857142855,90,0.3636062978692854
71,S71,10,5,15,3.0,1.9684210526315788,97.39814528947664,3,15.0,10.0,5.0,0.0074626864,0.0074626864,0.008788875226895074,0,0.5619047619047619,59,0.3198729205869729
90,S90,10,0,10,3.0,2.042105263157895,3.573145798051133,3,10.0,10.0,0.0,0.005130597,0.005130597,0.0055562283331274534,0,0.5555555555555556,25,0.251074931516955
91,S91,10,0,10,3.0,2.042105263157895,3.573145798051133,3,10.0,10.0,0.0,0.005130597,0.005130597,0.0055562283331274534,0,0.5555555555555556,25,0.251074931516955
94,S94,10,0,10,3.0,2.0842105263157893,2.937521675336801,5,10.0,10.0,0.0,0.005130597,0.005130597,0.005607822923795981,0,0.5111111111111111,23,0.17054903754093226
39,S39,9,11,20,3.0,1.9052631578947368,9.094515609911076,3,20.0,9.0,11.0,0.009794776,0.009794776,0.00943599211417768,0,0.5789473684210527,110,0.42286473053614865
41,S41,9,15,24,3.0,1.8526315789473684,21.287518118735164,5,24.0,9.0,15.0,0.011660447,0.011660447,0.011292893700150724,0,0.47101449275362317,130,0.42853713520912373
67,S67,9,7,16,3.0,1.9578947368421054,3.5909349994990887,3,16.0,9.0,7.0,0.007929104,0.007929104,0.007657599513588973,0,0.7416666666666667,89,0.38842176929257116
82,S82,9,0,9,3.0,2.0526315789473686,6.787371513196408,3,9.0,9.0,0.0,0.004664179,0.004664179,0.005383452000862122,0,0.5277777777777778,19,0.20679959749503857
