Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
69,matadAna,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
70,cunAva,0.0,0.0,0.0,1,1,2,2.0,1.0,1.0,0.0030487804,0.0030487804,31,0.0010776173386886244,41,0.0,0,0.002173954419619484
71,yUropiyana,2.0,1.75,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,162,0.002807983484407124,18,0.0,0,0.005201408320245395
72,tejI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,32,6.16349845874057E-4,42,0.0,0,0.0
73,rekhA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,33,6.16349845874057E-4,43,0.0,0,0.0
74,mukadame,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
75,kA.cfI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,34,6.16349845874057E-4,44,0.0,0,0.0
76,vhela,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,35,6.16349845874057E-4,45,0.0,0,0.0
77,khushI,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,36,0.0013104516513601627,46,0.0,0,0.0033293824494417565
78,rAShTrapati,2.0,1.5,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,11,0.0032990347053572983,16,0.0,0,0.0031151048849071094
79,bhUmi,7.0,2.9056603773584904,761.6666666666665,1,7,8,9.0,1.0,8.0,0.013719512,0.013719512,79,0.009926208600824816,2,0.0,0,0.09829096388504541
80,pArTI,5.0,2.6875,2.0,1,1,2,2.0,1.0,1.0,0.0045731706,0.0045731706,150,0.003852181212858634,10,0.0,0,0.012789229844842624
81,paMthI,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,37,0.004281137147257648,22,0.0,0,0.002173954419619484
82,AghAta,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
83,pAkashAlA,7.0,4.0754716981132075,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,12,0.002097026574247745,2,0.0,0,0.023231844116319168
84,garIbI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,38,6.16349845874057E-4,47,0.0,0,0.0
85,udyoga,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,0.0030487804,0.0030487804,39,0.004281137147257648,17,0.0,0,0.002173954419619484
86,bhAgya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,6.16349845874057E-4,48,0.0,0,0.0
87,vargIkaraNa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,41,6.16349845874057E-4,49,0.0,0,0.0
88,guphAeM,7.0,4.0754716981132075,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,12,0.002097026574247745,2,0.0,0,0.023231844116319168
89,mahAdvIpa,1.0,1.0,1.0,0,2,2,2.0,0.0,2.0,0.0045731706,0.0045731706,42,0.006245342031058346,50,0.0,0,0.0047680546569397
90,saMgaThana,3.0,2.0625,28.0,1,1,2,2.0,1.0,1.0,0.0045731706,0.0045731706,150,0.004221390818914265,10,0.0,0,0.020139167070376485
91,virodhoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,43,6.16349845874057E-4,51,0.0,0,0.0
92,nirNaya,1.0,1.0,0.0,2,1,3,3.0,2.0,1.0,0.0045731706,0.0045731706,44,0.002432322851470208,13,1.0,1,0.005746363031301964
93,saMgIta,12.0,6.056603773584905,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,80,0.001381322436703618,2,0.0,0,0.016454090081120924
94,bardAshta,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
95,shikAra,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
96,sAtha,3.0,2.026315789473684,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0023068410491180235,6,0.0,0,0.0925682487826093
97,khoja,4.0,2.9473684210526314,0.0,1,0,1,1.0,1.0,0.0,0.0030487804,0.0030487804,45,0.0025178669715007016,6,0.0,0,0.016509608108629493
98,prAyadvIpa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,46,6.16349845874057E-4,52,0.0,0,0.0
99,rUpa,3.0,1.2608695652173914,66.49999999999999,0,19,19,19.0,0.0,19.0,0.030487806,0.030487806,47,0.014754761482864654,0,0.10526315789473684,18,0.8870078133040248
100,mukti,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,48,6.16349845874057E-4,53,0.0,0,0.0
101,dakShiNa,8.0,3.4716981132075473,56.50000000000003,3,0,3,3.0,3.0,0.0,0.0060975607,0.0060975607,79,0.0034540024659410005,2,0.0,0,0.05988432107004777
