Id,Label,Source,Target,Weight,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient
94,hissA,,,,0,2,2,9.0,4.375,165.0,185,2.0,0.0,2.0,0.0051107327,0.0051107327,0.003035934554328849,0,0.0
95,nigama,,,,0,0,0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,66,0.0
96,vaibhava,,,,0,0,0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,67,0.0
97,jahAja,,,,0,0,0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,68,0.0
98,rAjasI,,,,0,0,0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,69,0.0
99,kendra,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
100,romAMca,,,,0,0,0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,70,0.0
101,sAtha,,,,0,0,0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,71,0.0
102,sthApatya,,,,0,0,0,0.0,0.0,0.0,67,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,72,0.0
103,rUpa,,,,0,17,17,11.0,4.666666666666667,175.0,7,17.0,0.0,17.0,0.030664396,0.030664396,0.014232526680553144,0,0.11029411764705882
104,saMpadA,,,,0,0,0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,73,0.0
105,shimalA,,,,1,0,1,2.0,1.5,0.0,211,1.0,1.0,0.0,0.003407155,0.003407155,0.003518341738475675,53,0.0
