Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
78,S78,3.0,2.0105263157894737,0.4477446080555338,0.005203612281672071,3,9,2,11,11.0,9.0,2.0,0.0048387097,0.0048387097,0,0.8,44,0.23065412106492236
79,S79,2.0,1.6631578947368422,82.32318071026322,0.013805967194128155,2,26,6,32,32.0,26.0,6.0,0.013306452,0.013306452,0,0.5221774193548387,259,0.5535873045948858
80,S80,2.0,1.5894736842105264,51.205847076493285,0.015287463271821905,3,31,8,39,39.0,31.0,8.0,0.016129032,0.016129032,0,0.5411605937921727,401,0.6636807796488083
81,S81,3.0,2.042105263157895,2.69525475710248,0.005132001902463217,2,9,1,10,10.0,9.0,1.0,0.004435484,0.004435484,0,0.5555555555555556,25,0.1634488056878095
82,S82,2.0,1.6,53.89684186329005,0.01506757983105067,2,35,3,38,38.0,35.0,3.0,0.015725806,0.015725806,0,0.5675675675675675,399,0.6746237517957907
83,S83,3.0,2.3473684210526318,0.0,0.002266842197463071,2,2,0,2,2.0,2.0,0.0,0.0012096774,0.0012096774,0,1.0,1,0.03927913271845557
84,S84,3.0,1.694736842105263,41.547321904069264,0.013042114135234316,2,32,1,33,33.0,32.0,1.0,0.013709677,0.013709677,0,0.5757575757575758,304,0.5930116891844279
85,S85,3.0,1.6,68.69181706272353,0.015473115144443005,3,35,4,39,39.0,35.0,4.0,0.016129032,0.016129032,0,0.44804318488529016,332,0.6316261865674633
86,S86,3.0,1.5052631578947369,60.703223802672845,0.018408199463049457,0,43,6,49,49.0,43.0,6.0,0.02016129,0.02016129,0,0.4923469387755102,579,0.8247676152955199
87,S87,3.0,1.8631578947368421,10.46615893921878,0.008689658976430268,0,19,2,21,21.0,19.0,2.0,0.008870968,0.008870968,0,0.6904761904761905,145,0.41666099365877596
88,S88,3.0,1.9684210526315788,7.261798610953414,0.0065173833473977745,0,13,1,14,14.0,13.0,1.0,0.006048387,0.006048387,0,0.6703296703296703,61,0.30198580043776974
89,S89,3.0,1.6736842105263159,21.413431600370775,0.013476960983469002,1,32,3,35,35.0,32.0,3.0,0.014516129,0.014516129,0,0.6672268907563025,397,0.6674053694402644
90,S90,3.0,2.0105263157894737,3.2962861663110945,0.004825568658686552,2,8,1,9,9.0,8.0,1.0,0.004032258,0.004032258,0,0.4444444444444444,16,0.13917342283011802
91,S91,3.0,1.9684210526315788,2.630212576882198,0.006044449336314131,3,13,0,13,13.0,13.0,0.0,0.0056451615,0.0056451615,0,0.6538461538461539,51,0.24272455510417607
92,S92,3.0,1.4842105263157894,107.11601386629668,0.019084249078303667,0,50,0,50,50.0,50.0,0.0,0.020564517,0.020564517,0,0.4897959183673469,600,0.8365466145138127
93,S93,3.0,2.336842105263158,1.416920276882683,0.0033581462712898545,1,4,0,4,4.0,4.0,0.0,0.002016129,0.002016129,0,0.16666666666666666,1,0.03954117953293962
94,S94,3.0,1.768421052631579,8.927064737422434,0.009654381421923871,0,24,0,24,24.0,24.0,0.0,0.010080645,0.010080645,0,0.717391304347826,198,0.4801601771128847
95,S95,3.0,1.8736842105263158,24.187325916720734,0.008564788899738227,1,19,0,19,19.0,19.0,0.0,0.008064516,0.008064516,0,0.5555555555555556,95,0.35878896295154505
96,S96,3.0,2.2736842105263158,3.6088374240629877,0.004173638796445967,1,6,0,6,6.0,6.0,0.0,0.0028225807,0.0028225807,0,0.26666666666666666,4,0.058622523690827474
97,S97,0.0,0.0,0.0,0.0015527949963633125,4,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0
98,S98,0.0,0.0,0.0,0.0015527949963633125,5,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0.0
99,S99,0.0,0.0,0.0,0.0015527949963633125,6,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0.0
100,S100,0.0,0.0,0.0,0.0015527949963633125,7,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0.0,0,0.0
