Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
231,hAla,12.0,6.733333333333333,1785.0,2,17,19,19.0,2.0,17.0,79,0.030395137,0.030395137,0.019988492101994,4,0.0,0,0.6207700561268046
232,itihAsa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,120,0.0,0.0,5.781744264857095E-4,121,0.0,0,0.0
233,mAlikoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,121,0.0,0.0,5.781744264857095E-4,122,0.0,0,0.0
234,shartoM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,122,0.0,0.0,5.781744264857095E-4,123,0.0,0,0.0
235,bhraShTAcAra,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,123,0.0,0.0,5.781744264857095E-4,124,0.0,0,0.0
236,paryAvaraNa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,124,0.0,0.0,5.781744264857095E-4,125,0.0,0,0.0
237,vistAra,13.0,7.666666666666667,212.05882352941188,2,2,4,4.0,2.0,2.0,79,0.0075987843,0.0075987843,0.005313819991924624,4,0.0,0,0.20378208547611995
238,krAMtikArI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,125,0.0,0.0,5.781744264857095E-4,126,0.0,0,0.0
239,dharatI,7.0,5.266666666666667,2700.0,2,0,2,4.0,4.0,0.0,92,0.0045592706,0.0045592706,0.0028774808849628634,4,0.0,0,0.032848886549634686
240,avadhi,12.0,7.057142857142857,154.0,2,4,6,6.0,2.0,4.0,63,0.009118541,0.009118541,0.005785221385855992,4,0.0,0,0.12314332197166789
241,adhikAMsha,12.0,6.123809523809523,13.333333333333327,4,0,4,4.0,4.0,0.0,87,0.0075987843,0.0075987843,0.0029775258103940886,4,0.6666666666666666,4,0.3299729218466666
242,kabje,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
243,prabhusattA,2.0,1.5,0.0,1,0,1,1.0,1.0,0.0,126,0.0030395137,0.0030395137,0.003075491095091585,76,0.0,0,0.004194449617308558
244,pITha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,127,0.0,0.0,5.781744264857095E-4,127,0.0,0,0.0
245,lakShaNa,1.0,1.0,0.0,0,1,1,1.0,0.0,1.0,128,0.0030395137,0.0030395137,0.0040021946104086695,119,0.0,0,0.0028517556991628206
246,tAnAshAhI,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
247,bhArata,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,129,0.0,0.0,5.781744264857095E-4,128,0.0,0,0.0
248,svAsthya,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
249,samaya,11.0,6.142857142857143,1798.6999999999998,1,8,9,9.0,1.0,8.0,63,0.015197569,0.015197569,0.01026283813428459,4,0.0,0,0.25619322655802307
