Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
39,S39,4.0,1.9789473684210526,12.219256237645245,4,4,10,14,14.0,4.0,10.0,0.008542141,0.008542141,0.008345009658176696,1,0.45054945054945056,41,0.28977109605123674
40,S40,3.0,1.8631578947368421,13.367592317809429,4,5,14,19,19.0,5.0,14.0,0.011389522,0.011389522,0.010667035452775541,1,0.5497076023391813,94,0.48573612901686886
41,S41,3.0,1.7789473684210526,31.510892221162702,6,6,21,27,27.0,6.0,21.0,0.01594533,0.01594533,0.014556604037457737,1,0.4672364672364672,164,0.6143700017645962
42,S42,4.0,2.0736842105263156,4.488517009607274,3,0,9,9,9.0,0.0,9.0,0.005694761,0.005694761,0.005931394539863072,1,0.4722222222222222,17,0.23385704645916172
43,S43,4.0,2.2842105263157895,0.18608465608465607,3,0,6,6,6.0,0.0,6.0,0.0039863326,0.0039863326,0.004410341549002333,1,0.8,12,0.18034248435671968
44,S44,3.0,1.8526315789473684,41.95759895765271,4,7,17,24,24.0,7.0,17.0,0.014236902,0.014236902,0.013279189575339976,1,0.38768115942028986,107,0.4873916032361693
45,S45,4.0,1.936842105263158,27.954932077985934,3,11,7,18,18.0,11.0,7.0,0.010820045,0.010820045,0.010494707835783062,1,0.41830065359477125,64,0.3753802062998271
46,S46,4.0,2.042105263157895,39.23737952472877,2,10,6,16,16.0,10.0,6.0,0.0096810935,0.0096810935,0.01031090909467577,1,0.2833333333333333,34,0.2588951257436264
47,S47,3.0,2.126315789473684,1.493401994534624,4,2,5,7,7.0,2.0,5.0,0.004555809,0.004555809,0.004832998670459309,1,0.5714285714285714,12,0.18966069605449634
48,S48,3.0,1.7263157894736842,64.94706100696514,3,22,9,31,31.0,22.0,9.0,0.018223235,0.018223235,0.017161716906854592,1,0.3655913978494624,170,0.634705721098412
49,S49,3.0,1.8,39.20535192084431,3,20,5,25,25.0,20.0,5.0,0.014806378,0.014806378,0.014296847124286752,1,0.36666666666666664,110,0.49758130990183297
50,S50,4.0,2.031578947368421,41.459836349903156,4,14,5,19,19.0,14.0,5.0,0.011389522,0.011389522,0.011342134545464962,1,0.2807017543859649,48,0.3113004400074682
51,S51,3.0,2.1473684210526316,0.9624315236263453,3,0,6,6,6.0,0.0,6.0,0.0039863326,0.0039863326,0.0045237516261355595,1,0.6666666666666666,10,0.16689771678156817
52,S52,3.0,1.8631578947368421,28.526987249463964,3,10,12,22,22.0,10.0,12.0,0.01309795,0.01309795,0.012231510142710175,1,0.42857142857142855,99,0.5048880011397751
53,S53,3.0,1.6421052631578947,212.06326764842038,6,18,22,40,40.0,18.0,22.0,0.02334852,0.02334852,0.021954561320396103,1,0.3628205128205128,283,0.7815436727692812
54,S54,3.0,1.5157894736842106,235.92123354525134,3,27,20,47,47.0,27.0,20.0,0.027334852,0.027334852,0.025951539242784514,1,0.33117483811285847,358,0.8943691517295107
55,S55,4.0,2.2526315789473683,5.808134174066162,5,4,1,5,5.0,4.0,1.0,0.0034168565,0.0034168565,0.004179936432854913,1,0.3,3,0.09598820129353984
56,S56,4.0,2.2,2.718640203708188,5,4,3,7,7.0,4.0,3.0,0.004555809,0.004555809,0.0049880292653664785,1,0.38095238095238093,8,0.1475360967461962
57,S57,4.0,1.9157894736842105,6.29595358648849,6,9,7,16,16.0,9.0,7.0,0.0096810935,0.0096810935,0.009089483467102265,1,0.6166666666666667,74,0.4371490430942644
58,S58,4.0,2.1473684210526316,0.4991264090177134,6,6,3,9,9.0,6.0,3.0,0.005694761,0.005694761,0.00567427884440419,1,0.75,27,0.25321663865288924
59,S59,3.0,1.7473684210526317,49.91724344363464,6,14,16,30,30.0,14.0,16.0,0.017653758,0.017653758,0.016118627657002012,1,0.42298850574712643,184,0.6513525390928162
60,S60,3.0,1.8105263157894738,51.68529092817564,6,11,11,22,22.0,11.0,11.0,0.01309795,0.01309795,0.012553238815313988,1,0.4935064935064935,114,0.5059869306889164
61,S61,4.0,1.9052631578947368,9.613174693481316,4,12,7,19,19.0,12.0,7.0,0.011389522,0.011389522,0.010483865915815993,1,0.5555555555555556,95,0.45877967275335424
62,S62,4.0,1.7789473684210526,88.53779272674234,4,20,12,32,32.0,20.0,12.0,0.018792711,0.018792711,0.017633939372078355,1,0.3810483870967742,189,0.6027211545163693
63,S63,3.0,1.7789473684210526,87.75763078038182,4,14,14,28,28.0,14.0,14.0,0.016514806,0.016514806,0.015804620236640206,1,0.3835978835978836,145,0.5706539546803985
64,S64,3.0,1.8736842105263158,40.8764915886787,4,6,12,18,18.0,6.0,12.0,0.010820045,0.010820045,0.010794413387007018,1,0.32679738562091504,50,0.36202343193311265
65,S65,3.0,1.7789473684210526,49.96335024636424,2,14,10,24,24.0,14.0,10.0,0.014236902,0.014236902,0.01351290774525013,1,0.5072463768115942,140,0.5555258350716542
66,S66,4.0,2.294736842105263,9.636329103878502,2,2,4,6,6.0,2.0,4.0,0.0039863326,0.0039863326,0.005471291194127001,1,0.26666666666666666,4,0.07423096946368721
67,S67,3.0,1.9263157894736842,27.321394376031396,3,15,3,18,18.0,15.0,3.0,0.010820045,0.010820045,0.010771770140655315,1,0.23529411764705882,36,0.30574438453627034
68,S68,4.0,2.9263157894736844,0.0,3,0,1,1,1.0,0.0,1.0,0.0011389522,0.0011389522,0.002128931756329745,1,0.0,0,0.01379980676892266
69,S69,3.0,1.936842105263158,100.41884317234205,3,12,3,15,15.0,12.0,3.0,0.009111618,0.009111618,0.010159424997919522,1,0.4666666666666667,49,0.3493254600844537
70,S70,4.0,2.231578947368421,0.12051529790660226,6,5,2,7,7.0,5.0,2.0,0.004555809,0.004555809,0.004753471007470628,1,0.8571428571428571,18,0.20439665099981355
71,S71,3.0,1.7263157894736842,379.7063335338963,2,24,10,34,34.0,24.0,10.0,0.019931663,0.019931663,0.022439372465082697,1,0.1622103386809269,91,0.45475113563338393
72,S72,4.0,2.4105263157894736,2.968196454961161,2,0,2,2,2.0,0.0,2.0,0.0017084283,0.0017084283,0.003172372586299547,1,0.0,0,0.03985901212100275
